Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_B17008_001,SE_B17008_002,SE_B17008_003,SE_B17008_004,SE_B17008_005,SE_B17008_006,SE_B17008_007,SE_B17008_008,SE_B17008_009,SE_B17008_010,SE_B17008_011,SE_B17008_012,SE_B17008_013,SE_B17008_014,PCT_SE_B17008_002,PCT_SE_B17008_003,PCT_SE_B17008_004,PCT_SE_B17008_005,PCT_SE_B17008_006,PCT_SE_B17008_007,PCT_SE_B17008_008,PCT_SE_B17008_009,PCT_SE_B17008_010,PCT_SE_B17008_011,PCT_SE_B17008_012,PCT_SE_B17008_013,PCT_SE_B17008_014
"06107003504","Census Tract 35.04, Tulare County, California","ACSSF","ca","140","00","0011648",,,,,"06","107",,,"003504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107003504","Census Tract 35.04",,,,2853,359,499,71,222,42,147,99,303,233,424,269,68,117,12.58,17.49,2.49,7.78,1.47,5.15,3.47,10.62,8.17,14.86,9.43,2.38,4.1
"06107003601","Census Tract 36.01, Tulare County, California","ACSSF","ca","140","00","0011649",,,,,"06","107",,,"003601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107003601","Census Tract 36.01",,,,3204,460,443,146,32,85,155,138,256,311,411,191,361,215,14.36,13.83,4.56,1,2.65,4.84,4.31,7.99,9.71,12.83,5.96,11.27,6.71
"06107003602","Census Tract 36.02, Tulare County, California","ACSSF","ca","140","00","0011650",,,,,"06","107",,,"003602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107003602","Census Tract 36.02",,,,3786,289,807,146,308,148,36,260,194,445,447,77,101,528,7.63,21.32,3.86,8.14,3.91,0.95,6.87,5.12,11.75,11.81,2.03,2.67,13.95
"06107003700","Census Tract 37, Tulare County, California","ACSSF","ca","140","00","0011651",,,,,"06","107",,,"003700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107003700","Census Tract 37",,,,2395,150,432,0,30,137,142,91,204,377,71,130,120,511,6.26,18.04,0,1.25,5.72,5.93,3.8,8.52,15.74,2.96,5.43,5.01,21.34
"06107003801","Census Tract 38.01, Tulare County, California","ACSSF","ca","140","00","0011652",,,,,"06","107",,,"003801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107003801","Census Tract 38.01",,,,1236,60,450,76,10,0,17,0,43,194,106,73,27,180,4.85,36.41,6.15,0.81,0,1.38,0,3.48,15.7,8.58,5.91,2.18,14.56
"06107003802","Census Tract 38.02, Tulare County, California","ACSSF","ca","140","00","0011653",,,,,"06","107",,,"003802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107003802","Census Tract 38.02",,,,1613,58,81,104,56,31,17,121,126,264,355,115,136,149,3.6,5.02,6.45,3.47,1.92,1.05,7.5,7.81,16.37,22.01,7.13,8.43,9.24
"06107003902","Census Tract 39.02, Tulare County, California","ACSSF","ca","140","00","0011654",,,,,"06","107",,,"003902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107003902","Census Tract 39.02",,,,2264,409,195,115,71,147,40,67,136,128,278,234,97,347,18.07,8.61,5.08,3.14,6.49,1.77,2.96,6.01,5.65,12.28,10.34,4.28,15.33
"06107003903","Census Tract 39.03, Tulare County, California","ACSSF","ca","140","00","0011655",,,,,"06","107",,,"003903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107003903","Census Tract 39.03",,,,1396,49,86,0,0,41,92,14,239,141,293,27,113,301,3.51,6.16,0,0,2.94,6.59,1,17.12,10.1,20.99,1.93,8.09,21.56
"06107003904","Census Tract 39.04, Tulare County, California","ACSSF","ca","140","00","0011656",,,,,"06","107",,,"003904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107003904","Census Tract 39.04",,,,920,62,115,14,27,12,171,0,20,31,312,23,92,41,6.74,12.5,1.52,2.93,1.3,18.59,0,2.17,3.37,33.91,2.5,10,4.46
"06107004000","Census Tract 40, Tulare County, California","ACSSF","ca","140","00","0011657",,,,,"06","107",,,"004000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107004000","Census Tract 40",,,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
"06107004102","Census Tract 41.02, Tulare County, California","ACSSF","ca","140","00","0011658",,,,,"06","107",,,"004102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107004102","Census Tract 41.02",,,,734,70,74,14,48,47,74,15,42,27,232,9,29,53,9.54,10.08,1.91,6.54,6.4,10.08,2.04,5.72,3.68,31.61,1.23,3.95,7.22
"06107004103","Census Tract 41.03, Tulare County, California","ACSSF","ca","140","00","0011659",,,,,"06","107",,,"004103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107004103","Census Tract 41.03",,,,1926,65,302,76,38,97,165,0,230,152,322,190,58,231,3.37,15.68,3.95,1.97,5.04,8.57,0,11.94,7.89,16.72,9.87,3.01,11.99
"06107004104","Census Tract 41.04, Tulare County, California","ACSSF","ca","140","00","0011660",,,,,"06","107",,,"004104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107004104","Census Tract 41.04",,,,2076,340,35,21,0,0,67,39,445,167,328,67,280,287,16.38,1.69,1.01,0,0,3.23,1.88,21.44,8.04,15.8,3.23,13.49,13.82
"06107004200","Census Tract 42, Tulare County, California","ACSSF","ca","140","00","0011661",,,,,"06","107",,,"004200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107004200","Census Tract 42",,,,2229,195,82,128,0,100,151,23,139,109,721,149,211,221,8.75,3.68,5.74,0,4.49,6.77,1.03,6.24,4.89,32.35,6.68,9.47,9.91
"06107004301","Census Tract 43.01, Tulare County, California","ACSSF","ca","140","00","0011662",,,,,"06","107",,,"004301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107004301","Census Tract 43.01",,,,1128,53,102,8,0,31,29,18,26,24,614,32,103,88,4.7,9.04,0.71,0,2.75,2.57,1.6,2.3,2.13,54.43,2.84,9.13,7.8
"06107004302","Census Tract 43.02, Tulare County, California","ACSSF","ca","140","00","0011663",,,,,"06","107",,,"004302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107004302","Census Tract 43.02",,,,909,83,32,22,10,26,29,13,30,36,431,103,37,57,9.13,3.52,2.42,1.1,2.86,3.19,1.43,3.3,3.96,47.41,11.33,4.07,6.27
"06107004401","Census Tract 44.01, Tulare County, California","ACSSF","ca","140","00","0011664",,,,,"06","107",,,"004401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107004401","Census Tract 44.01",,,,1850,84,51,129,41,43,147,0,105,125,755,216,57,97,4.54,2.76,6.97,2.22,2.32,7.95,0,5.68,6.76,40.81,11.68,3.08,5.24
"06107004402","Census Tract 44.02, Tulare County, California","ACSSF","ca","140","00","0011665",,,,,"06","107",,,"004402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107004402","Census Tract 44.02",,,,1399,57,70,48,30,61,0,24,164,131,601,25,96,92,4.07,5,3.43,2.14,4.36,0,1.72,11.72,9.36,42.96,1.79,6.86,6.58
"06107004500","Census Tract 45, Tulare County, California","ACSSF","ca","140","00","0011666",,,,,"06","107",,,"004500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107004500","Census Tract 45",,,,1733,230,179,88,24,46,52,103,144,161,287,149,48,222,13.27,10.33,5.08,1.38,2.65,3,5.94,8.31,9.29,16.56,8.6,2.77,12.81
